"","t_name","year","bird_id","band","sex","max_dist","total_dist","start_date","end_date","duration","bathyAvg","bathyMax","bathyVar","A","max_lat","max_long","max_gmt","Tout","Tback","Yno.trips","Tno.trips","no.years","X","meandir","bird.id","no.previous.attempts","earliest.attempt","attempt.status","year_banded","status_banded","age_chicks","home_lat","home_long","max_bearing","hemisphere"
"13","ID04_2015 80","2015","ID04_2015","13206118","F",86499.87,447890.93578691,2015-09-23 15:45:31,2015-09-27 06:42:25,3.62284722222222,-67.6020833333333,-84,294.73694763396,0.193127083154801,-39.88873,145.4452,2015-09-25 16:27:55,2.02944444444444,1.59340277777778,1,2,2,3,162.528437874844,15605,NA,NA,NA,2000,"adult",NA,-40.3780953,144.6557384,51.330947707697,"east"
"14","ID05_2013 8","2013","ID05_2013","13239898","M",84405.9015,1027624.54084995,2013-09-24 23:51:41,2013-09-27 20:41:23,2.86784722222222,-46.4069400630915,-93,794.058559278042,0.0821369071530617,-39.999985,143.795395,2013-09-26 22:37:42,1.94862268518519,0.919224537037037,1,19,3,2,107.358228042665,24305,24,1988,"F",1983,"chick",30,-40.3780953,144.6557384,-60.4631375238023,"west"
"15","ID05_2015 81","2015","ID05_2015","28014436","F",133378.3,919426.794912984,2015-09-25 07:39:08,2015-09-28 16:36:06,3.37289351851852,-307.130733944954,-1271,84689.6633291153,0.145066796767244,-39.96712,143.1828,2015-09-26 17:11:47,1.39767361111111,1.97521990740741,1,1,1,3,162.528437874844,35360,14,2000,"F",1995,"chick",20,-40.3780953,144.6557384,-70.4885857900053,"west"
"16","ID05_2017 101","2017","ID05_2017","28002586","U",111295.6,746430.116757059,2017-09-29 00:59:04,2017-10-01 04:03:20,2.12796296296296,-136.166112956811,-1148,34904.7123145072,0.149103844420875,-40.5821,143.369,2017-09-30 11:19:39,1.43096064814815,0.697002314814815,1,1,1,5,146.149342815149,24568,16,1990,"F",1983,"chick",34,-40.3780953,144.6557384,-102.146730049252,"west"
"17","ID05_2018 141","latewinter2018","ID05_2018","28011837","M",70533.55,323042.039742167,2018-08-25 03:37:19,2018-08-26 05:38:20,1.08403935185185,-23.9230769230769,-86,486.201798201798,0.218341705792521,-40.44132,143.8278,2018-08-25 16:09:30,0.522349537037037,0.561689814814815,6,6,1,NA,NA,33297,19,1996,"S",1991,"chick",27,-40.3780953,144.6557384,-95.9731854365292,"west"
"18","ID05_2018 142","latewinter2018","ID05_2018","28011837","M",72090.72,309020.708464343,2018-08-30 00:48:36,2018-08-31 05:26:29,1.19297453703704,-27.2906976744186,-59,248.326265389877,0.233287666571764,-40.16071,143.8562,2018-08-30 15:16:49,0.602928240740741,0.590046296296296,6,6,1,NA,NA,33297,19,1996,"S",1991,"chick",27,-40.3780953,144.6557384,-70.7167803394478,"west"
"19","ID05_2018 143","latewinter2018","ID05_2018","28011837","M",136392.3,401510.429363717,2018-09-06 23:31:30,2018-09-08 06:34:13,1.29355324074074,-67.8064516129032,-334,4439.20126227209,0.339698025319402,-39.8899,143.1858,2018-09-08 01:30:31,1.08265046296296,0.210902777777778,6,6,1,NA,NA,33297,19,1996,"S",1991,"chick",27,-40.3780953,144.6557384,-67.0768189463946,"west"
"20","ID05_2018 144","latewinter2018","ID05_2018","28011837","M",358461.5,1107206.1630351,2018-09-13 00:18:08,2018-09-15 19:42:52,2.80884259259259,-134.478947368421,-1197,42131.2138401559,0.323753165370194,-38.48905,141.2787,2018-09-13 22:01:39,0.905219907407407,1.90362268518519,6,6,1,NA,NA,33297,19,1996,"S",1991,"chick",27,-40.3780953,144.6557384,-55.2773133838191,"west"
"21","ID05_2018 145","latewinter2018","ID05_2018","28011837","M",301602.1,1115428.08395678,2018-09-19 02:25:42,2018-09-24 01:24:19,4.95737268518519,-63.3487031700288,-729,3354.3086905099,0.270391345114891,-38.40382,142.2545,2018-09-22 03:30:26,3.0449537037037,1.91241898148148,6,6,1,NA,NA,33297,19,1996,"S",1991,"chick",27,-40.3780953,144.6557384,-44.1101427389022,"west"
"22","ID05_2018 146","2018","ID05_2018","28011837","M",424886.5,1654826.63401271,2018-09-27 06:51:38,2018-10-03 06:01:01,5.96484953703704,-56.0141843971631,-1001,4424.4737319754,0.256755898936503,-38.1163,140.6846,2018-09-29 22:23:30,2.64712962962963,3.31771990740741,6,6,1,6,152.818593163907,33297,19,1996,"S",1991,"chick",27,-40.3780953,144.6557384,-55.0466409327298,"west"
